i,r,v,p,ni,nr,nv,np
9,9,81,729,-0.5261318,-1.457128264,-1.030496372,-0.813865622
22,78,1716,37752,1.381738046,0.909703978,1.928102783,2.232342148
5,36,180,900,-1.113168675,-0.530976517,-0.851351836,-0.799795949
17,38,646,10982,0.647941951,-0.462372684,-0.008105838,0.029738847
11,65,715,7865,-0.232613362,0.463779063,0.116752475,-0.226724152
5,93,465,2325,-1.113168675,1.424232726,-0.335632717,-0.682548668
13,57,741,9633,0.060905076,0.18936373,0.163800535,-0.081255245
14,78,1092,15288,0.207664295,0.909703978,0.798949344,0.384031332
19,73,1387,26353,0.941460389,0.738194395,1.332763871,1.294446181
6,37,222,1332,-0.966409456,-0.496674601,-0.775351123,-0.76425151
21,9,189,3969,1.234978827,-1.457128264,-0.835065969,-0.547282331
13,100,1300,16900,0.060905076,1.664346142,1.175333824,0.516664747
12,67,804,9648,-0.085854143,0.532382896,0.277801603,-0.080021063
8,10,80,640,-0.672891019,-1.422826348,-1.032305912,-0.821188435
13,77,1001,13013,0.060905076,0.875402061,0.634281135,0.196847077
22,50,1100,24200,1.381738046,-0.050749686,0.813425671,1.117299939
23,91,2093,48139,1.528497265,1.355628893,2.610299653,3.086971976
8,5,40,320,-0.672891019,-1.59433593,-1.104687543,-0.847517649
12,92,1104,13248,-0.085854143,1.38993081,0.820663834,0.216182593
15,10,150,2250,0.354423514,-1.422826348,-0.905638059,-0.688719577
17,54,918,15606,0.647941951,0.086457981,0.484089251,0.410195988
24,63,1512,36288,1.675256484,0.39517523,1.558956467,2.111885995
15,97,1455,21825,0.354423514,1.561440392,1.455812643,0.921887805
17,10,170,2890,0.647941951,-1.422826348,-0.869447243,-0.63606115
17,11,187,3179,0.647941951,-1.388524431,-0.83868505,-0.612282578
22,26,572,12584,1.381738046,-0.873995683,-0.142011855,0.161549474
10,35,350,3500,-0.379372581,-0.565278434,-0.543729905,-0.585871086
17,59,1003,17051,0.647941951,0.257967563,0.637900216,0.529088845
10,62,620,6200,-0.379372581,0.360873313,-0.055153898,-0.363718343
4,87,348,1392,-1.259927894,1.218421227,-0.547348987,-0.759314782
15,59,885,13275,0.354423514,0.257967563,0.424374406,0.218404121
1,93,93,93,-1.700205551,1.424232726,-1.008781882,-0.866194935
9,10,90,810,-0.5261318,-1.422826348,-1.014210505,-0.80720104
23,77,1771,40733,1.528497265,0.875402061,2.027627526,2.477615231
23,39,897,20631,1.528497265,-0.428070768,0.446088895,0.823646925
7,48,336,2352,-0.819650238,-0.119353519,-0.569063476,-0.68032714
20,64,1280,25600,1.088219608,0.429477146,1.139143009,1.23249025
14,95,1330,18620,0.207664295,1.492836559,1.229620047,0.658184272
12,85,1020,12240,-0.085854143,1.149817394,0.668662409,0.133245569
23,85,1955,44965,1.528497265,1.149817394,2.360583027,2.825819085
18,65,1170,21060,0.79470117,0.463779063,0.940093524,0.858944528
19,38,722,13718,0.941460389,-0.462372684,0.12941926,0.254853626
14,64,896,12544,0.207664295,0.429477146,0.444279354,0.158258322
2,61,122,244,-1.553446332,0.326571397,-0.9563052,-0.853770837
20,78,1560,31200,1.088219608,0.909703978,1.645814424,1.693251493
5,51,255,1275,-1.113168675,-0.016447769,-0.715636278,-0.768941401
21,29,609,12789,1.234978827,-0.771089933,-0.075058846,0.178416627
23,18,414,9522,1.528497265,-1.148411015,-0.427919296,-0.090388191
6,97,582,3492,-0.966409456,1.561440392,-0.123916447,-0.586529316
13,2,26,338,0.060905076,-1.69724168,-1.130021114,-0.846036631
18,31,558,10044,0.79470117,-0.7024861,-0.167345425,-0.047438661
3,70,210,630,-1.406687113,0.635288645,-0.797065613,-0.822011223
14,78,1092,15288,0.207664295,0.909703978,0.798949344,0.384031332
16,85,1360,21760,0.501182733,1.149817394,1.28390627,0.916539683
2,63,126,252,-1.553446332,0.39517523,-0.949067037,-0.853112607
10,70,700,7000,-0.379372581,0.635288645,0.089609364,-0.297895308
6,56,336,2016,-0.966409456,0.155061814,-0.569063476,-0.707972815
1,15,15,15,-1.700205551,-1.251316765,-1.149926062,-0.872612681
24,2,48,1152,1.675256484,-1.69724168,-1.090211217,-0.779061693
4,90,360,1440,-1.259927894,1.321326977,-0.525634497,-0.7553654
21,11,231,4851,1.234978827,-1.388524431,-0.759065256,-0.474712436
